Design #,C.O.F. ,Epsilon,S.H.,W,L ,F.P.L,F.P.W,F.L,F.W,O.O.F ,BW,S11,Directivity,Gain,Efficency,
80,2400,3,1.15,43.594,35.199,11.733,21.797,0,0,2446,270,3.529,6.519,3.167,51.3,
81,2400,3,1.2,43.394,34.999,11.66633333,21.697,0,0,2458,270,3.567,6.521,3.526,50.2,
82,2400,3,1.25,43.194,34.799,11.59966667,21.597,0,0,2470,273,3.607,6.523,3.433,49.1,
83,2400,3,1.3,42.994,34.599,11.533,21.497,0,0,2482,279,3.649,6.525,3.337,48,
84,2400,3,1.35,42.794,34.399,11.46633333,21.397,0,0,2494,279,3.693,6.527,3.238,46.9,
85,2400,3,1.4,42.594,34.199,11.39966667,21.297,0,0,2507,281,3.737,6.529,3.138,45.8,
86,2400,3,1.45,42.394,33.999,11.333,21.197,0,0,2518,284,3.783,6.531,3.306,44.7,
87,2400,3,1.5,42.194,33.799,11.26633333,21.097,0,0,2533,289,3.817,6.533,2.928,43.6,
88,2400,3,1.55,44.394,35.999,11.99966667,22.197,0,0,2383,265,3.797,6.567,4.192,57.9,
89,2400,3,1.6,44.594,36.199,12.06633333,22.297,0,0,2369,263,3.829,6.575,4.31,59.4,
90,2400,3,1.65,44.794,36.399,12.133,22.397,0,0,2355,263,3.861,6.582,4.427,60.9,
91,2400,3,1.7,44.994,36.599,12.19966667,22.497,0,0,2345,242,4,6.593,4.528,62.2,
92,2400,3,1.75,45.194,36.799,12.26633333,22.597,0,0,2323,247,3.977,6.603,4.736,65,
93,2400,3,1.8,45.394,36.999,12.333,22.697,0,0,2310,247,4.01,6.611,4.841,66.5,
94,2400,3,1.85,45.594,37.199,12.39966667,22.797,0,0,2297,247,4.405,6.619,4.943,68,
95,2400,3,1.9,45.794,37.399,12.46633333,22.897,0,0,2284,242,4.08,6.627,5.042,69.4,
96,2400,3,1.95,45.994,37.599,12.533,22.997,0,0,2271,242,4.113,6.635,5.139,70.9,
97,2400,3,1.2,46.194,37.799,12.59966667,23.097,0,0,2281,237,3.553,6.566,4.969,69.2,
98,2400,3,2,46.194,37.799,12.59966667,23.097,0,0,2258,242,4.147,6.642,5.232,72.3,
99,2400,3,1,43.994,35.599,11.86633333,21.997,0,0,2423,263,3.429,6.511,3.762,53.1,
,,,,,,,,,,,,,,,,
